article_id,article_title,section_id,section_title,article_section
2,Abdominal CT scan,4917445,_INTRO_,<p>An abdominal CT scan is an imaging method that uses x-rays to create cross-sectional pictures of the belly area. CT stands for computed tomography.</p>
2,Abdominal CT scan,4917446,How the Test is Performed,"<p>You will lie on a narrow table that slides into the center of the CT scanner. Most often,you will lie on your back with your arms raised above the head.</p><p>Once you are inside the scanner, the machine's x-ray beam rotates around you. Modern ""spiral"" scanners can perform the exam without stopping.</p><p>A computer creates separate images of the belly area, called slices. These images can be stored, viewed on a monitor, or printed on film. Three-dimensional models of the belly area can bemade by stacking the slices together.</p><p>You must be still during the exam, because movement causes blurred images. You may be told to hold your breath for short periods of time.</p><p>The scan should take less than 30 minutes.</p>"
2,Abdominal CT scan,4917447,How to Prepare for the Test,"<p>You need to have a special dye, called contrast, put into your body before some exams. Contrast helps certain areas show up better on the x-rays.</p><ul><li>Contrast can be given through a vein (IV) in your hand or forearm. If contrast is used, you may also be asked not to eat or drink anything for 4-6 hours before the test.</li><li>You may have to drink the contrast before the exam. When you drink it will depend on the type of exam being done. Contrast has a chalky taste although some have flavors so that they taste a little better. </li><li>The contrast will pass out of your body through your stools.</li><li>Let your doctor know if you have ever had a reaction to contrast. You may need to take medicines before the test in order to safely receive this substance.</li><li>Before receiving the contrast, tell your health care provider if you take the diabetes medication metformin(Glucophage).People taking this medicine may have to stop taking it for a while before the test.</li></ul><p>Too much weight can damage the scanner. Find out if the CT machine has a weight limit if you weigh more than 300 pounds. </p><p>You will need to take off yourjewelry and wear a hospital gown during the study.</p>"
2,Abdominal CT scan,4917448,How the Test Will Feel,"<p>Lying on the hard table may be a little bit uncomfortable.</p><p>If you have contrast through a vein (IV), you may have:</p><ul><li>Slight burning sensation</li><li>Metallic taste in the mouth</li><li>Warm flushing of the body</li></ul><p>These feelings are normal and go away within a few seconds.</p>"
2,Abdominal CT scan,4917449,Why the Test is Performed,"<p>An abdominal CT scan makesdetailed pictures of the structures inside your belly (abdomen) very quickly.</p><p>This test may be used to look for:</p><ul><li>Cause of abdominal pain or swelling</li><li>Hernia</li><li>Cause of a fever</li><li>Masses and tumors, including cancer</li><li>Infections or injury</li><li>Kidney stones</li><li>Appendicitis</li></ul>"
2,Abdominal CT scan,4917450,What Abnormal Results Mean,"<p>The abdominal CT scan mayshow somecancers, including:</p><ul><li>Breast cancer</li><li>Cancer of the renal pelvis or ureter</li><li>Colon cancer</li><li>Hepatocellular carcinoma</li><li>Lymphoma</li><li>Melanoma</li><li>Ovarian cancer</li><li>Pancreatic cancer</li><li>Pheochromocytoma</li><li>Renal cell carcinoma (kidney cancer)</li><li>Testicular cancer</li></ul><p>The abdominal CT scan may show problems with the gallbladder, liver, or pancreas, including:</p><ul><li>Acute cholecystitis</li><li>Alcoholic liver disease</li><li>Cholelithiasis</li><li>Pancreatic abscess</li><li>Pancreatic pseudocyst</li><li>Pancreatitis</li><li>Sclerosing cholangitis</li></ul><p>The abdominal CT scan may reveal the following kidney problems:</p><ul><li>Acute bilateral obstructive uropathy</li><li>Acute unilateral obstructive uropathy</li><li>Chronic bilateral obstructive uropathy</li><li>Chronic unilateral obstructive uropathy</li><li>Complicated UTI (pyelonephritis)</li><li>Kidney stones</li><li>Kidney swelling (hydronephrosis)</li><li>Kidney or ureter damage</li><li>Polycystic kidney disease</li><li>Ureterocele</li></ul><p>Abnormal results may also be due to:</p><ul><li>Abdominal aortic aneurysm</li><li>Abscesses</li><li>Appendicitis</li><li>Bowel wall thickening</li><li>Retroperitoneal fibrosis</li><li>Renal artery stenosis</li><li>Renal vein thrombosis</li></ul>"
2,Abdominal CT scan,4917451,Risks,"<p>Risks of CT scans include:</p><ul><li>Allergyto contrast dye</li><li>Exposure to radiation</li></ul><p>CT scansexpose you to more radiation than regular x-rays. Many x-rays or CT scans over time may increase your risk for cancer. However, the risk from any one scan is small. Talk to your doctor about this risk and the benefit of the test for gettinga correct diagnosis of yourmedical problem. </p><p>Some people have allergies to contrast dye. Let your doctor know if you have ever had an allergic reaction to injected contrast dye.</p><ul><li>The most common type of contrast given into a vein contains iodine. If you have an iodine allergy, you may have nausea or vomiting,sneezing, itching,or hives if you get this type of contrast.</li><li>If you must be given such contrast, your doctor may give you antihistamines (such as Benadryl) or steroids before the test.</li><li>Yourkidneys help remove iodine out of the body. You may need extra fluids after the test to help flush the iodine out of the body if you havekidney disease or diabetes.</li></ul><p>Rarely, the dye may cause a life-threatening allergic response called anaphylaxis. Tell the scanner operator right away if you have any trouble breathing during the test.. Scanners come with an intercom and speakers, so the operator can hear you at all times.</p>"
2,Abdominal CT scan,4917452,Alternative Names,<p>Computed tomography scan - abdomen; CT scan - abdomen; CAT scan - abdomen</p>
2,Abdominal CT scan,4917453,References,"<p>Kim DH, Pickhardt PJ. Diagnostic imaging procedures in gastroenterology. In: Goldman L, Schafer AI, eds. <em>Cecil Medicine. </em>24th ed. Philadelphia, Pa: Saunders Elsevier; 2011:chap 135.</p><p>Shaw AS, Dixon AK. Multidetector computed tomography. In: Adam A, Dixon AK, eds. <em>Grainger &amp; Allison's Diagnostic Radiology: A Textbook of Medical Imaging</em>. 5th ed. New York, NY: Churchill Livingstone; 2008:chap 4.</p>"
3,Abdominal mass,4917454,_INTRO_,<p>An abdominal mass is swelling in one part of the belly area (abdomen).</p>
