article_id,article_title,section_id,section_title,article_section
1823,Diabetes,4932162,_INTRO_,"<p>Diabetes is usually a lifelong (chronic) disease in which thereis ahigh level of sugar in the blood.</p>"
1823,Diabetes,4932163,Causes,"<p>Insulin is a hormone produced by the pancreas to control blood sugar. Diabetes can be caused by too little insulin, resistance to insulin, or both.</p><p>To understand diabetes, it is important to first understand the normal process by which food is broken down and used by the body for energy. Several things happen when food is digested:</p><ul><li>A sugar called glucose enters the bloodstream. Glucose is a source of fuel for the body.</li><li>An organ called the pancreas makes insulin. The role of insulin is to move glucose from the bloodstream into muscle, fat, and liver cells, where it can be used as fuel. </li></ul><p>People with diabetes have high blood sugar because their body cannot move sugar into fat, liver, and muscle cells to be stored for energy. This is because either:</p><ul><li>Their pancreas does not make enough insulin</li><li>Their cells do not respond to insulin normally</li><li>Both of the above</li></ul><p>There aretwo major types of diabetes. The causes and risk factors are different for each type:</p><ul><li>Type 1 diabetes can occur at any age, but it is most often diagnosed in children, teens, or young adults. In this disease, the body makes little or no insulin. Daily injections of insulin are needed. The exact cause is unknown.</li><li>Type 2 diabetes makes up most diabetes cases. It most often occurs in adulthood.But because of high obesity rates, teens and young adults are now being diagnosed with it. Many people with type 2 diabetes do not know they have it.</li><li>There are other causes of diabetes, and some patients cannot be classified as type 1 or type 2. </li></ul><p>Gestational diabetes is high blood sugar that develops at any time during pregnancy in a woman who does not have diabetes.</p><p>Diabetes affects more than 20 million Americans. Over 40 million Americans have pre-diabetes (which oftendevelops beforetype 2 diabetes). If your parent, brother or sister has diabetes, you may be more likely to develop diabetes.</p>"
1823,Diabetes,4932164,Symptoms,"<p>High blood sugar level can cause several symptoms, including:</p><ul><li>Blurry vision</li><li>Excess thirst</li><li>Fatigue</li><li>Hunger</li><li>Urinating often</li><li>Weight loss</li></ul><p>Because type 2 diabetes develops slowly, some people with high blood sugar have no symptoms.</p><p>Symptoms of type 1 diabetes develop over a short period. People may be very sick by the time they are diagnosed.</p><p>After many years, diabetes can lead to other serious problems. These problems are known as diabetes complications and include:</p><ul><li>Eye problems, including trouble seeing (especially at night), light sensitivity, blindness in the future</li><li>Painful sores and infections of the leg or foot, which if left untreated, leads to removal of the foot or leg </li><li>Nerves in the body can become damaged, causing pain, tingling, and a loss of feeling, problems digesting food, erectile dysfunction</li><li>Kidney problems, which can lead to kidney failure</li><li>Weakened immune system, which can lead to more frequent infections</li><li>Increased chance of having a heart attackor stroke</li></ul>"
1823,Diabetes,4932165,"Exams and Tests","<p>A urine analysis may show high blood sugar. But a urine test alone does not diagnose diabetes.</p><p>Your health care provider may suspect that you have diabetes if your blood sugar level is higher than 200 mg/dL. To confirm the diagnosis, one or more of the following tests must be done.</p><p>Blood tests:</p><ul><li>Fasting blood glucose level -- diabetes is diagnosed if it is higher than 126 mg/dL twice. Levels between 100 and 126 mg/dL are called impaired fasting glucose or pre-diabetes. These levels are risk factors for type 2 diabetes.</li><li>Hemoglobin A1c test -- <ul><li>Normal: Less than 5.7%</li><li>Pre-diabetes: 5.7% - 6.4%</li><li>Diabetes: 6.5% or higher</li></ul></li><li>Oral glucose tolerance test -- diabetes is diagnosed if glucose level is higher than 200 mg/dL 2 hoursafter drinking a glucose drink. (This test is used more often for type 2 diabetes.)</li></ul><p>Screening for type 2 diabetes in people who have no symptoms is recommended for:</p><ul><li>Overweight children who have other risk factors for diabetes, starting at age 10 and repeated every 2 years</li><li>Overweight adults (BMI greater than 25) who have other risk factors</li><li>Adults over age 45, repeated every 3 years</li></ul>"
1823,Diabetes,4932166,Treatment,"<p>Withtype 2 diabetes,the disease may be reversed with lifestyle changes, especially losing weight through exercising and eating healthier foods. Also, some cases of type 2 diabetes can be improved with weight-loss surgery.</p><p>There is no cure for type 1 diabetes. </p><p>Treating both type 1 diabetes and type 2 diabetes involves medicines, diet, and exercise to control blood sugar level.</p><p>Getting better control over your blood sugar, cholesterol, and blood pressure levels helps reduce the risk of kidney disease, eye disease, nervous system disease, heart attack, and stroke.</p><p>To prevent diabetes complications, visit your health care provider at least two to four times a year. Talk about any problems you are having. Follow your health care provider's instructions on managing your diabetes.</p>"
1823,Diabetes,4932167,"Support Groups","<p>American Diabetes Association|www.diabetes.org</p>"
1823,Diabetes,4932168,Prevention,"<p>Keeping an ideal body weight and an active lifestyle may prevent type 2 diabetes.</p><p>Type 1 diabetes cannot be prevented.</p>"
1823,Diabetes,4932169,References,"<p>Alemzadeh R, Ali O. Diabetes mellitus. In: Kliegman RM, ed. <em>Kliegman: Nelson Textbook of Pediatrics</em>. 19th ed. Philadelphia, Pa.: Elsevier Saunders; 2011:chap 583.</p><p>Amorosa LF, Lee EJ, Swee DE. Diabetes mellitus. In: Rakel RE, Rakel DP, eds. <em>Textbook of Family Medicine</em>. 8th ed. Philadelphia, Pa.: Elsevier Saunders; 2011:chap 34.</p><p>American Diabetes Association. Standards of medical care in diabetes -- 2013. <em>Diabetes Care</em>. 2013; Jan;33 Suppl 1:S11-S61.</p><p>Eisenbarth GS, Polonsky KS, Buse JB. Type 1 Diabetes Mellitus. In: Kronenberg HM, Melmed S, Polonsky KS, Larsen PR. <em>Kronenberg: Williams Textbook of Endocrinology</em>. 11th ed. Philadelphia, Pa: Saunders Elsevier; 2008:chap 31.</p>"
1833,"Diabetes and Pregnancy",4932259,_INTRO_,"<p>Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high. When you are pregnant, too much glucose is not good for your baby.</p><p>About seven out of every 100 pregnant women in the United States get gestational diabetes. Gestational diabetes is diabetes that happens for the first time when a woman is pregnant. It goes away after you have your baby, but it does increase your risk for having diabetes later.</p> <p>If you already have diabetes before you get pregnant, you need to monitor and control your blood sugar levels during pregnancy.</p><p>Most women get a test to check for diabetes during their second trimester of pregnancy. Women at higher risk may get a test earlier.</p><p>Either type of diabetes during pregnancy raises the risk of problems for the baby and the mother. To help lower the risks, you should follow your meal plan, exercise, test your blood sugar, and, if needed, take your medicine.</p> <p>NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>"
1833,"Gestational diabetes",4932259,_INTRO_,"<p>Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high. When you are pregnant, too much glucose is not good for your baby.</p><p>About seven out of every 100 pregnant women in the United States get gestational diabetes. Gestational diabetes is diabetes that happens for the first time when a woman is pregnant. It goes away after you have your baby, but it does increase your risk for having diabetes later.</p> <p>If you already have diabetes before you get pregnant, you need to monitor and control your blood sugar levels during pregnancy.</p><p>Most women get a test to check for diabetes during their second trimester of pregnancy. Women at higher risk may get a test earlier.</p><p>Either type of diabetes during pregnancy raises the risk of problems for the baby and the mother. To help lower the risks, you should follow your meal plan, exercise, test your blood sugar, and, if needed, take your medicine.</p> <p>NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>"
